7	0	[(20.36698167665394, 2.6339447850278748)]	[(31.83640964546364, 39.209102617970125)]	([[19.159478436705058, 2.6276564242659357]], [1.0], 2, 0.03640663000078348)
7	1	[(20.36698167665394, 2.6339447850278748)]	[(31.83640964546364, 39.209102617970125)]	([[19.159478436705058, 2.6276564242659357]], [1.0], 2, 0.03121559799910756)
7	2	[(20.36698167665394, 2.6339447850278748)]	[(31.83640964546364, 39.209102617970125)]	([[19.159478436705058, 2.6276564242659357]], [1.0], 2, 0.02633072299977357)
7	3	[(20.36698167665394, 2.6339447850278748)]	[(31.83640964546364, 39.209102617970125)]	([[19.159478436705058, 2.6276564242659357]], [1.0], 2, 0.027510439000252518)
7	4	[(20.36698167665394, 2.6339447850278748)]	[(31.83640964546364, 39.209102617970125)]	([[19.159478436705058, 2.6276564242659357]], [1.0], 2, 0.02830534200074908)
18	0	[(16.13793198562199, 6.973396717802615)]	[(46.163375552919035, 5.351669546774045)]	([[13.457271997996367, 6.853658357891865]], [1.0], 4, 0.042129000001295935)
18	1	[(16.13793198562199, 6.973396717802615)]	[(46.163375552919035, 5.351669546774045)]	([[13.457271997996367, 6.853658357891865]], [1.0], 4, 0.04181202399922768)
18	2	[(16.13793198562199, 6.973396717802615)]	[(46.163375552919035, 5.351669546774045)]	([[13.457271997996367, 6.853658357891865]], [1.0], 4, 0.04191387500031851)
18	3	[(16.13793198562199, 6.973396717802615)]	[(46.163375552919035, 5.351669546774045)]	([[13.457271997996367, 6.853658357891865]], [1.0], 4, 0.043252931000097306)
18	4	[(16.13793198562199, 6.973396717802615)]	[(46.163375552919035, 5.351669546774045)]	([[13.457271997996367, 6.853658357891865]], [1.0], 4, 0.04374201999962679)
29	0	[(16.717849156866816, 1.7450173685910597)]	[(12.424534485778336, 8.651954428366572)]	([[20.224674508693365, 1.75648664095433]], [1.0], 2, 0.04398183999910543)
29	1	[(16.717849156866816, 1.7450173685910597)]	[(12.424534485778336, 8.651954428366572)]	([[20.224674508693365, 1.75648664095433]], [1.0], 2, 0.044348749001073884)
29	2	[(16.717849156866816, 1.7450173685910597)]	[(12.424534485778336, 8.651954428366572)]	([[20.224674508693365, 1.75648664095433]], [1.0], 2, 0.044120682001448586)
29	3	[(16.717849156866816, 1.7450173685910597)]	[(12.424534485778336, 8.651954428366572)]	([[20.224674508693365, 1.75648664095433]], [1.0], 2, 0.04574888900060614)
29	4	[(16.717849156866816, 1.7450173685910597)]	[(12.424534485778336, 8.651954428366572)]	([[20.224674508693365, 1.75648664095433]], [1.0], 2, 0.045216518999950495)
40	0	[(0.8484879840309935, 16.180911758631417)]	[(6.7395299479776885, 49.023568454229455)]	([[0.8453787383809103, 17.79890978573353]], [1.0], 2, 0.04262559199923999)
40	1	[(0.8484879840309935, 16.180911758631417)]	[(6.7395299479776885, 49.023568454229455)]	([[0.8453787383809103, 17.79890978573353]], [1.0], 2, 0.041038610999748926)
40	2	[(0.8484879840309935, 16.180911758631417)]	[(6.7395299479776885, 49.023568454229455)]	([[0.8453787383809103, 17.79890978573353]], [1.0], 2, 0.04216166100013652)
40	3	[(0.8484879840309935, 16.180911758631417)]	[(6.7395299479776885, 49.023568454229455)]	([[0.8453787383809103, 17.79890978573353]], [1.0], 2, 0.04140636199917935)
40	4	[(0.8484879840309935, 16.180911758631417)]	[(6.7395299479776885, 49.023568454229455)]	([[0.8453787383809103, 17.79890978573353]], [1.0], 2, 0.041944103000787436)
51	0	[(8.975444381132476, 14.29869959352075)]	[(27.58999804626804, 6.065274592536915)]	([[27.589998046268036, 6.065274592536915]], [1.0], 0, 0.002045482000539778)
51	1	[(8.975444381132476, 14.29869959352075)]	[(27.58999804626804, 6.065274592536915)]	([[27.589998046268036, 6.065274592536915]], [1.0], 0, 0.001746310001180973)
51	2	[(8.975444381132476, 14.29869959352075)]	[(27.58999804626804, 6.065274592536915)]	([[27.589998046268036, 6.065274592536915]], [1.0], 0, 0.0016184900014195591)
51	3	[(8.975444381132476, 14.29869959352075)]	[(27.58999804626804, 6.065274592536915)]	([[27.589998046268036, 6.065274592536915]], [1.0], 0, 0.0016445089986518724)
51	4	[(8.975444381132476, 14.29869959352075)]	[(27.58999804626804, 6.065274592536915)]	([[27.589998046268036, 6.065274592536915]], [1.0], 0, 0.0016418239993072348)
62	0	[(9.508237007574344, 22.57344867036495)]	[(27.062251623594495, 30.095411793115563)]	([[8.978353102627596, 22.594067412708174]], [1.0], 2, 0.4584758389992203)
62	1	[(9.508237007574344, 22.57344867036495)]	[(27.062251623594495, 30.095411793115563)]	([[8.978353102627596, 22.594067412708174]], [1.0], 2, 0.4538399009998102)
62	2	[(9.508237007574344, 22.57344867036495)]	[(27.062251623594495, 30.095411793115563)]	([[8.978353102627596, 22.594067412708174]], [1.0], 2, 0.4558577410007274)
62	3	[(9.508237007574344, 22.57344867036495)]	[(27.062251623594495, 30.095411793115563)]	([[8.978353102627596, 22.594067412708174]], [1.0], 2, 0.4545176840001659)
62	4	[(9.508237007574344, 22.57344867036495)]	[(27.062251623594495, 30.095411793115563)]	([[8.978353102627596, 22.594067412708174]], [1.0], 2, 0.44601670399970317)
73	0	[(7.375652970070121, 11.214586767789381)]	[(46.40545756628203, 9.027911013228433)]	([[7.822519109186026, 11.193214122193476]], [1.0], 3, 0.2919382180007233)
73	1	[(7.375652970070121, 11.214586767789381)]	[(46.40545756628203, 9.027911013228433)]	([[7.822519109186026, 11.193214122193476]], [1.0], 3, 0.29732525599865767)
