3	0	[(8.253927368800229, 7.963474638265987)]	[(18.210141625125466, 11.432495016128042)]	([[7.02666056111025, 7.64573566174008]], [1.0], 2, 0.0273038200011797)
3	1	[(8.253927368800229, 7.963474638265987)]	[(18.210141625125466, 11.432495016128042)]	([[7.02666056111025, 7.64573566174008]], [1.0], 2, 0.02224857500004873)
3	2	[(8.253927368800229, 7.963474638265987)]	[(18.210141625125466, 11.432495016128042)]	([[7.02666056111025, 7.64573566174008]], [1.0], 2, 0.02327129600053013)
3	3	[(8.253927368800229, 7.963474638265987)]	[(18.210141625125466, 11.432495016128042)]	([[7.02666056111025, 7.64573566174008]], [1.0], 2, 0.023317180999583798)
3	4	[(8.253927368800229, 7.963474638265987)]	[(18.210141625125466, 11.432495016128042)]	([[7.02666056111025, 7.64573566174008]], [1.0], 2, 0.02285785899948678)
14	0	[(5.315362865451494, 23.033927260019375)]	[(30.43595957788375, 42.75592323769586)]	([[5.006193146028934, 22.3907494491825]], [1.0], 2, 0.023610903999724542)
14	1	[(5.315362865451494, 23.033927260019375)]	[(30.43595957788375, 42.75592323769586)]	([[5.006193146028934, 22.3907494491825]], [1.0], 2, 0.02365809200091462)
14	2	[(5.315362865451494, 23.033927260019375)]	[(30.43595957788375, 42.75592323769586)]	([[5.006193146028934, 22.3907494491825]], [1.0], 2, 0.023181016000307864)
14	3	[(5.315362865451494, 23.033927260019375)]	[(30.43595957788375, 42.75592323769586)]	([[5.006193146028934, 22.3907494491825]], [1.0], 2, 0.023143564998463262)
14	4	[(5.315362865451494, 23.033927260019375)]	[(30.43595957788375, 42.75592323769586)]	([[5.006193146028934, 22.3907494491825]], [1.0], 2, 0.023866712999733863)
25	0	[(4.316605676630777, 19.41816978463173)]	[(21.281484880413277, 34.3547680361454)]	([[4.279215641154386, 19.535529713730547]], [1.0], 2, 0.030793095000262838)
25	1	[(4.316605676630777, 19.41816978463173)]	[(21.281484880413277, 34.3547680361454)]	([[4.279215641154386, 19.535529713730547]], [1.0], 2, 0.03102106299957086)
25	2	[(4.316605676630777, 19.41816978463173)]	[(21.281484880413277, 34.3547680361454)]	([[4.279215641154386, 19.535529713730547]], [1.0], 2, 0.03076009300093574)
25	3	[(4.316605676630777, 19.41816978463173)]	[(21.281484880413277, 34.3547680361454)]	([[4.279215641154386, 19.535529713730547]], [1.0], 2, 0.030727149998710956)
25	4	[(4.316605676630777, 19.41816978463173)]	[(21.281484880413277, 34.3547680361454)]	([[4.279215641154386, 19.535529713730547]], [1.0], 2, 0.031104630001209443)
36	0	[(19.834354304938206, 4.007423628314234)]	[(13.077750566060677, 16.662250850192926)]	([[19.45033362628712, 4.029326303232728]], [1.0], 2, 0.03586151499985135)
36	1	[(19.834354304938206, 4.007423628314234)]	[(13.077750566060677, 16.662250850192926)]	([[19.45033362628712, 4.029326303232728]], [1.0], 2, 0.03612665400032711)
36	2	[(19.834354304938206, 4.007423628314234)]	[(13.077750566060677, 16.662250850192926)]	([[19.45033362628712, 4.029326303232728]], [1.0], 2, 0.03825023399986094)
36	3	[(19.834354304938206, 4.007423628314234)]	[(13.077750566060677, 16.662250850192926)]	([[19.45033362628712, 4.029326303232728]], [1.0], 2, 0.038410825000028126)
36	4	[(19.834354304938206, 4.007423628314234)]	[(13.077750566060677, 16.662250850192926)]	([[19.45033362628712, 4.029326303232728]], [1.0], 2, 0.03790729899992584)
47	0	[(8.458963097155905, 11.909764403678487)]	[(34.12579378829481, 20.671388031147032)]	([[8.615115422821937, 11.922435500732337]], [1.0], 2, 0.1125246480005444)
47	1	[(8.458963097155905, 11.909764403678487)]	[(34.12579378829481, 20.671388031147032)]	([[8.615115422821937, 11.922435500732337]], [1.0], 2, 0.11206831100025738)
47	2	[(8.458963097155905, 11.909764403678487)]	[(34.12579378829481, 20.671388031147032)]	([[8.615115422821937, 11.922435500732337]], [1.0], 2, 0.11213743999906)
47	3	[(8.458963097155905, 11.909764403678487)]	[(34.12579378829481, 20.671388031147032)]	([[8.615115422821937, 11.922435500732337]], [1.0], 2, 0.11829553899951861)
47	4	[(8.458963097155905, 11.909764403678487)]	[(34.12579378829481, 20.671388031147032)]	([[8.615115422821937, 11.922435500732337]], [1.0], 2, 0.13606302499829326)
58	0	[(20.853162528128237, 7.26731541711137)]	[(36.32875044556681, 47.939886156020286)]	([[20.45236328025608, 7.243883943059364]], [1.0], 2, 0.083974847000718)
