4	0	[(23.546618760274608, 23.28388541636444)]	[(35.03007132100788, 28.668557765550133)]	([[21.97932271789197, 23.131581147436826]], [1.0], 2, 0.018095932999131037)
4	1	[(23.546618760274608, 23.28388541636444)]	[(35.03007132100788, 28.668557765550133)]	([[21.97932271789197, 23.131581147436826]], [1.0], 2, 0.01636194599996088)
4	2	[(23.546618760274608, 23.28388541636444)]	[(35.03007132100788, 28.668557765550133)]	([[21.97932271789197, 23.131581147436826]], [1.0], 2, 0.01274998000008054)
4	3	[(23.546618760274608, 23.28388541636444)]	[(35.03007132100788, 28.668557765550133)]	([[21.97932271789197, 23.131581147436826]], [1.0], 2, 0.013046637999650557)
4	4	[(23.546618760274608, 23.28388541636444)]	[(35.03007132100788, 28.668557765550133)]	([[21.97932271789197, 23.131581147436826]], [1.0], 2, 0.013074520000373013)
15	0	[(3.506307017594104, 8.669789719371522)]	[(43.45481361671829, 37.07604848483768)]	([[4.071947114785297, 8.876609897227702]], [1.0], 2, 0.028414546999556478)
15	1	[(3.506307017594104, 8.669789719371522)]	[(43.45481361671829, 37.07604848483768)]	([[4.071947114785297, 8.876609897227702]], [1.0], 2, 0.029622185000334866)
15	2	[(3.506307017594104, 8.669789719371522)]	[(43.45481361671829, 37.07604848483768)]	([[4.071947114785297, 8.876609897227702]], [1.0], 2, 0.027585879999605822)
15	3	[(3.506307017594104, 8.669789719371522)]	[(43.45481361671829, 37.07604848483768)]	([[4.071947114785297, 8.876609897227702]], [1.0], 2, 0.027674475999447168)
15	4	[(3.506307017594104, 8.669789719371522)]	[(43.45481361671829, 37.07604848483768)]	([[4.071947114785297, 8.876609897227702]], [1.0], 2, 0.027471174998936476)
26	0	[(9.0779196425583, 24.64732824926515)]	[(48.10087558663384, 22.130135957192255)]	([[9.285273712099855, 24.692532321911376]], [1.0], 3, 0.04452045199832355)
26	1	[(9.0779196425583, 24.64732824926515)]	[(48.10087558663384, 22.130135957192255)]	([[9.285273712099855, 24.692532321911376]], [1.0], 3, 0.04529216099945188)
