0	0	[(11.625359656723797, 9.715508076642609)]	[(0.6148855136400687, 39.00297392088712)]	([[12.92466205448258, 9.503361076314562]], [1.0], 2, 0.02561023900125292)
0	1	[(11.625359656723797, 9.715508076642609)]	[(0.6148855136400687, 39.00297392088712)]	([[12.92466205448258, 9.503361076314562]], [1.0], 2, 0.01992796400008956)
0	2	[(11.625359656723797, 9.715508076642609)]	[(0.6148855136400687, 39.00297392088712)]	([[12.92466205448258, 9.503361076314562]], [1.0], 2, 0.01884106299985433)
0	3	[(11.625359656723797, 9.715508076642609)]	[(0.6148855136400687, 39.00297392088712)]	([[12.92466205448258, 9.503361076314562]], [1.0], 2, 0.019399521999730496)
0	4	[(11.625359656723797, 9.715508076642609)]	[(0.6148855136400687, 39.00297392088712)]	([[12.92466205448258, 9.503361076314562]], [1.0], 2, 0.01983802600079798)
11	0	[(11.226486924126343, 18.12236707055538)]	[(43.44458673262236, 34.820633177391784)]	([[11.362774910126141, 18.011887838480547]], [1.0], 2, 0.02664331899904937)
11	1	[(11.226486924126343, 18.12236707055538)]	[(43.44458673262236, 34.820633177391784)]	([[11.362774910126141, 18.011887838480547]], [1.0], 2, 0.02574143499987258)
11	2	[(11.226486924126343, 18.12236707055538)]	[(43.44458673262236, 34.820633177391784)]	([[11.362774910126141, 18.011887838480547]], [1.0], 2, 0.025764349000382936)
11	3	[(11.226486924126343, 18.12236707055538)]	[(43.44458673262236, 34.820633177391784)]	([[11.362774910126141, 18.011887838480547]], [1.0], 2, 0.02537745200061181)
11	4	[(11.226486924126343, 18.12236707055538)]	[(43.44458673262236, 34.820633177391784)]	([[11.362774910126141, 18.011887838480547]], [1.0], 2, 0.025655322999227792)
22	0	[(5.6986831898834645, 10.629526922561512)]	[(21.00566989849843, 14.083822965817683)]	([[5.161122147752739, 10.538783726084485]], [1.0], 2, 0.03756973500094318)
22	1	[(5.6986831898834645, 10.629526922561512)]	[(21.00566989849843, 14.083822965817683)]	([[5.161122147752739, 10.538783726084485]], [1.0], 2, 0.03766043500036176)
22	2	[(5.6986831898834645, 10.629526922561512)]	[(21.00566989849843, 14.083822965817683)]	([[5.161122147752739, 10.538783726084485]], [1.0], 2, 0.03796615999999631)
22	3	[(5.6986831898834645, 10.629526922561512)]	[(21.00566989849843, 14.083822965817683)]	([[5.161122147752739, 10.538783726084485]], [1.0], 2, 0.03869149199999811)
22	4	[(5.6986831898834645, 10.629526922561512)]	[(21.00566989849843, 14.083822965817683)]	([[5.161122147752739, 10.538783726084485]], [1.0], 2, 0.038434699999925215)
33	0	[(13.377374238274228, 12.642102598670737)]	[(1.8420433087154269, 43.749592543366774)]	([[13.37217757572021, 12.728301457844609]], [1.0], 2, 0.03701392099901568)
33	1	[(13.377374238274228, 12.642102598670737)]	[(1.8420433087154269, 43.749592543366774)]	([[13.37217757572021, 12.728301457844609]], [1.0], 2, 0.03834513200126821)
33	2	[(13.377374238274228, 12.642102598670737)]	[(1.8420433087154269, 43.749592543366774)]	([[13.37217757572021, 12.728301457844609]], [1.0], 2, 0.03857365099975141)
33	3	[(13.377374238274228, 12.642102598670737)]	[(1.8420433087154269, 43.749592543366774)]	([[13.37217757572021, 12.728301457844609]], [1.0], 2, 0.03887117999875045)
33	4	[(13.377374238274228, 12.642102598670737)]	[(1.8420433087154269, 43.749592543366774)]	([[13.37217757572021, 12.728301457844609]], [1.0], 2, 0.038083710000137216)
44	0	[(5.677285638169438, 1.4656608883573818)]	[(10.838453255054931, 23.50513475955537)]	([[5.558574582241275, 1.4601159800173282]], [1.0], 2, 0.05827873599992017)
44	1	[(5.677285638169438, 1.4656608883573818)]	[(10.838453255054931, 23.50513475955537)]	([[5.558574582241275, 1.4601159800173282]], [1.0], 2, 0.056479687000319245)
44	2	[(5.677285638169438, 1.4656608883573818)]	[(10.838453255054931, 23.50513475955537)]	([[5.558574582241275, 1.4601159800173282]], [1.0], 2, 0.057287494999400224)
44	3	[(5.677285638169438, 1.4656608883573818)]	[(10.838453255054931, 23.50513475955537)]	([[5.558574582241275, 1.4601159800173282]], [1.0], 2, 0.05552070600060688)
44	4	[(5.677285638169438, 1.4656608883573818)]	[(10.838453255054931, 23.50513475955537)]	([[5.558574582241275, 1.4601159800173282]], [1.0], 2, 0.05687955800021882)
55	0	[(22.312594832522485, 19.040406890320874)]	[(11.860719366941094, 13.80170920316979)]	([[21.112743871291027, 19.017141516234176]], [1.0], 2, 0.05066395299945725)
55	1	[(22.312594832522485, 19.040406890320874)]	[(11.860719366941094, 13.80170920316979)]	([[21.112743871291027, 19.017141516234176]], [1.0], 2, 0.05043589399974735)
55	2	[(22.312594832522485, 19.040406890320874)]	[(11.860719366941094, 13.80170920316979)]	([[21.112743871291027, 19.017141516234176]], [1.0], 2, 0.05582649000098172)
55	3	[(22.312594832522485, 19.040406890320874)]	[(11.860719366941094, 13.80170920316979)]	([[21.112743871291027, 19.017141516234176]], [1.0], 2, 0.05307604399968113)
55	4	[(22.312594832522485, 19.040406890320874)]	[(11.860719366941094, 13.80170920316979)]	([[21.112743871291027, 19.017141516234176]], [1.0], 2, 0.0575613990004058)
66	0	[(15.455809074712748, 11.125759802790077)]	[(32.01721954069909, 10.24085062365167)]	([[16.226486620026176, 11.1335094723182]], [1.0], 2, 0.18084530899977835)
66	1	[(15.455809074712748, 11.125759802790077)]	[(32.01721954069909, 10.24085062365167)]	([[16.226486620026176, 11.1335094723182]], [1.0], 2, 0.1418643830002111)
66	2	[(15.455809074712748, 11.125759802790077)]	[(32.01721954069909, 10.24085062365167)]	([[16.226486620026176, 11.1335094723182]], [1.0], 2, 0.14345580199915275)
66	3	[(15.455809074712748, 11.125759802790077)]	[(32.01721954069909, 10.24085062365167)]	([[16.226486620026176, 11.1335094723182]], [1.0], 2, 0.14229312899988145)
66	4	[(15.455809074712748, 11.125759802790077)]	[(32.01721954069909, 10.24085062365167)]	([[16.226486620026176, 11.1335094723182]], [1.0], 2, 0.15858996199858666)
77	0	[(1.903203173183211, 1.311993175361261)]	[(9.90465154425929, 0.3009466767834085)]	([[1.9125969713448894, 1.3639260799796895]], [1.0], 3, 0.33722001900059695)
77	1	[(1.903203173183211, 1.311993175361261)]	[(9.90465154425929, 0.3009466767834085)]	([[1.9125969713448894, 1.3639260799796895]], [1.0], 3, 0.36013161899973056)
77	2	[(1.903203173183211, 1.311993175361261)]	[(9.90465154425929, 0.3009466767834085)]	([[1.9125969713448894, 1.3639260799796895]], [1.0], 3, 0.336988585000654)
77	3	[(1.903203173183211, 1.311993175361261)]	[(9.90465154425929, 0.3009466767834085)]	([[1.9125969713448894, 1.3639260799796895]], [1.0], 3, 0.33814397499918414)
77	4	[(1.903203173183211, 1.311993175361261)]	[(9.90465154425929, 0.3009466767834085)]	([[1.9125969713448894, 1.3639260799796895]], [1.0], 3, 0.3428230239987897)
88	0	[(23.422834357610927, 10.292309746669135), (8.887255804264964, 8.754310468750827)]	[(29.730430333665925, 8.106743446492436), (24.808296232187185, 10.781230776928847)]	([[12.685451440480874, 8.352060354583097], [16.971904605949703, 10.155186110638313]], [0.29243943114241394, 0.7075605688575862], 7, 0.24706381099895225)
88	1	[(23.422834357610927, 10.292309746669135), (8.887255804264964, 8.754310468750827)]	[(29.730430333665925, 8.106743446492436), (24.808296232187185, 10.781230776928847)]	([[12.685451440480874, 8.352060354583097], [16.971904605949703, 10.155186110638313]], [0.29243943114241394, 0.7075605688575862], 7, 0.24573913300082495)
88	2	[(23.422834357610927, 10.292309746669135), (8.887255804264964, 8.754310468750827)]	[(29.730430333665925, 8.106743446492436), (24.808296232187185, 10.781230776928847)]	([[12.685451440480874, 8.352060354583097], [16.971904605949703, 10.155186110638313]], [0.29243943114241394, 0.7075605688575862], 7, 0.24817538899878855)
88	3	[(23.422834357610927, 10.292309746669135), (8.887255804264964, 8.754310468750827)]	[(29.730430333665925, 8.106743446492436), (24.808296232187185, 10.781230776928847)]	([[12.685451440480874, 8.352060354583097], [16.971904605949703, 10.155186110638313]], [0.29243943114241394, 0.7075605688575862], 7, 0.24926333299845282)
