10	0	[(6.135409151828641, 24.95381530471599)]	[(9.477991210653375, 11.302174422956972)]	([[5.833207319655822, 25.214152697106115]], [1.0], 3, 0.056016246000581305)
10	1	[(6.135409151828641, 24.95381530471599)]	[(9.477991210653375, 11.302174422956972)]	([[5.833207319655822, 25.214152697106115]], [1.0], 3, 0.05432500900133164)
10	2	[(6.135409151828641, 24.95381530471599)]	[(9.477991210653375, 11.302174422956972)]	([[5.833207319655822, 25.214152697106115]], [1.0], 3, 0.056373487999735516)
10	3	[(6.135409151828641, 24.95381530471599)]	[(9.477991210653375, 11.302174422956972)]	([[5.833207319655822, 25.214152697106115]], [1.0], 3, 0.05508035899947572)
10	4	[(6.135409151828641, 24.95381530471599)]	[(9.477991210653375, 11.302174422956972)]	([[5.833207319655822, 25.214152697106115]], [1.0], 3, 0.05432831600046484)
21	0	[(18.868316693854847, 13.780295660579798)]	[(6.772670120323826, 17.842081695744863)]	([[17.93910244844942, 13.758137793201934]], [1.0], 2, 0.05508976700002677)
21	1	[(18.868316693854847, 13.780295660579798)]	[(6.772670120323826, 17.842081695744863)]	([[17.93910244844942, 13.758137793201934]], [1.0], 2, 0.05505656400055159)
21	2	[(18.868316693854847, 13.780295660579798)]	[(6.772670120323826, 17.842081695744863)]	([[17.93910244844942, 13.758137793201934]], [1.0], 2, 0.055207888000950334)
21	3	[(18.868316693854847, 13.780295660579798)]	[(6.772670120323826, 17.842081695744863)]	([[17.93910244844942, 13.758137793201934]], [1.0], 2, 0.05531682299988461)
21	4	[(18.868316693854847, 13.780295660579798)]	[(6.772670120323826, 17.842081695744863)]	([[17.93910244844942, 13.758137793201934]], [1.0], 2, 0.05497375800041482)
32	0	[(21.07164230375294, 4.57989767920728)]	[(33.38397949596972, 46.15756706699892)]	([[20.295129858441904, 4.572102800520861]], [1.0], 2, 0.07068037299904972)
32	1	[(21.07164230375294, 4.57989767920728)]	[(33.38397949596972, 46.15756706699892)]	([[20.295129858441904, 4.572102800520861]], [1.0], 2, 0.07078147300126147)
