6	0	[(2.7719878986102167, 0.7812948428771894)]	[(19.07203182847961, 47.43425546011244)]	([[3.5230103558912775, 0.8135122485284924]], [1.0], 2, 0.032833047000167426)
6	1	[(2.7719878986102167, 0.7812948428771894)]	[(19.07203182847961, 47.43425546011244)]	([[3.5230103558912775, 0.8135122485284924]], [1.0], 2, 0.03299177500048245)
6	2	[(2.7719878986102167, 0.7812948428771894)]	[(19.07203182847961, 47.43425546011244)]	([[3.5230103558912775, 0.8135122485284924]], [1.0], 2, 0.03232124600071984)
6	3	[(2.7719878986102167, 0.7812948428771894)]	[(19.07203182847961, 47.43425546011244)]	([[3.5230103558912775, 0.8135122485284924]], [1.0], 2, 0.03208153499872424)
6	4	[(2.7719878986102167, 0.7812948428771894)]	[(19.07203182847961, 47.43425546011244)]	([[3.5230103558912775, 0.8135122485284924]], [1.0], 2, 0.03187287399850902)
17	0	[(20.854338702339398, 6.417193855719807)]	[(24.294522006536074, 31.034481191609583)]	([[18.922683834318253, 6.349984094396624]], [1.0], 2, 0.029104793999067624)
17	1	[(20.854338702339398, 6.417193855719807)]	[(24.294522006536074, 31.034481191609583)]	([[18.922683834318253, 6.349984094396624]], [1.0], 2, 0.029763419999653706)
17	2	[(20.854338702339398, 6.417193855719807)]	[(24.294522006536074, 31.034481191609583)]	([[18.922683834318253, 6.349984094396624]], [1.0], 2, 0.029500988001018413)
17	3	[(20.854338702339398, 6.417193855719807)]	[(24.294522006536074, 31.034481191609583)]	([[18.922683834318253, 6.349984094396624]], [1.0], 2, 0.02974967599948286)
17	4	[(20.854338702339398, 6.417193855719807)]	[(24.294522006536074, 31.034481191609583)]	([[18.922683834318253, 6.349984094396624]], [1.0], 2, 0.029618136999488343)
28	0	[(13.703231125967028, 8.156673840984825)]	[(17.26117458515654, 16.73995021323877)]	([[14.576348598855194, 8.283640912033388]], [1.0], 2, 0.05610352999974566)
28	1	[(13.703231125967028, 8.156673840984825)]	[(17.26117458515654, 16.73995021323877)]	([[14.576348598855194, 8.283640912033388]], [1.0], 2, 0.055926167999132304)
28	2	[(13.703231125967028, 8.156673840984825)]	[(17.26117458515654, 16.73995021323877)]	([[14.576348598855194, 8.283640912033388]], [1.0], 2, 0.056360443000812666)
28	3	[(13.703231125967028, 8.156673840984825)]	[(17.26117458515654, 16.73995021323877)]	([[14.576348598855194, 8.283640912033388]], [1.0], 2, 0.05617645799975435)
28	4	[(13.703231125967028, 8.156673840984825)]	[(17.26117458515654, 16.73995021323877)]	([[14.576348598855194, 8.283640912033388]], [1.0], 2, 0.05612382800063642)
39	0	[(6.442964332974221, 2.0614374253647876)]	[(30.025693457067717, 18.3209994547219)]	([[6.792440586863863, 2.0963396750429983]], [1.0], 2, 0.11842026200065447)
39	1	[(6.442964332974221, 2.0614374253647876)]	[(30.025693457067717, 18.3209994547219)]	([[6.792440586863863, 2.0963396750429983]], [1.0], 2, 0.11846292300106143)
39	2	[(6.442964332974221, 2.0614374253647876)]	[(30.025693457067717, 18.3209994547219)]	([[6.792440586863863, 2.0963396750429983]], [1.0], 2, 0.1197941840000567)
39	3	[(6.442964332974221, 2.0614374253647876)]	[(30.025693457067717, 18.3209994547219)]	([[6.792440586863863, 2.0963396750429983]], [1.0], 2, 0.11864304099981382)
39	4	[(6.442964332974221, 2.0614374253647876)]	[(30.025693457067717, 18.3209994547219)]	([[6.792440586863863, 2.0963396750429983]], [1.0], 2, 0.11850001300081203)
50	0	[(3.127204758751836, 24.658189491212994)]	[(36.52956984928719, 10.043100542105904)]	([[3.234993656240063, 23.820299808027674]], [1.0], 3, 0.10359178799990332)
50	1	[(3.127204758751836, 24.658189491212994)]	[(36.52956984928719, 10.043100542105904)]	([[3.234993656240063, 23.820299808027674]], [1.0], 3, 0.10330933800105413)
50	2	[(3.127204758751836, 24.658189491212994)]	[(36.52956984928719, 10.043100542105904)]	([[3.234993656240063, 23.820299808027674]], [1.0], 3, 0.10307377400022233)
50	3	[(3.127204758751836, 24.658189491212994)]	[(36.52956984928719, 10.043100542105904)]	([[3.234993656240063, 23.820299808027674]], [1.0], 3, 0.10348001799866324)
50	4	[(3.127204758751836, 24.658189491212994)]	[(36.52956984928719, 10.043100542105904)]	([[3.234993656240063, 23.820299808027674]], [1.0], 3, 0.10433619700052077)
61	0	[(17.457606301371353, 14.529156686696355)]	[(5.968999863753217, 41.67955255012195)]	([[18.276044608992088, 14.52631646321249]], [1.0], 2, 0.46390807399984624)
61	1	[(17.457606301371353, 14.529156686696355)]	[(5.968999863753217, 41.67955255012195)]	([[18.276044608992088, 14.52631646321249]], [1.0], 2, 0.4643230629990285)
61	2	[(17.457606301371353, 14.529156686696355)]	[(5.968999863753217, 41.67955255012195)]	([[18.276044608992088, 14.52631646321249]], [1.0], 2, 0.46510138499979803)
61	3	[(17.457606301371353, 14.529156686696355)]	[(5.968999863753217, 41.67955255012195)]	([[18.276044608992088, 14.52631646321249]], [1.0], 2, 0.4685283740000159)
61	4	[(17.457606301371353, 14.529156686696355)]	[(5.968999863753217, 41.67955255012195)]	([[18.276044608992088, 14.52631646321249]], [1.0], 2, 0.47021694499926525)
72	0	[(19.82298194593038, 12.797486004486966)]	[(40.377788179609595, 14.116308033085101)]	([[19.04447278072551, 12.789620426683042]], [1.0], 2, 0.25603385100112064)
72	1	[(19.82298194593038, 12.797486004486966)]	[(40.377788179609595, 14.116308033085101)]	([[19.04447278072551, 12.789620426683042]], [1.0], 2, 0.25618152800052485)
72	2	[(19.82298194593038, 12.797486004486966)]	[(40.377788179609595, 14.116308033085101)]	([[19.04447278072551, 12.789620426683042]], [1.0], 2, 0.257112467999832)
72	3	[(19.82298194593038, 12.797486004486966)]	[(40.377788179609595, 14.116308033085101)]	([[19.04447278072551, 12.789620426683042]], [1.0], 2, 0.25768728600087343)
72	4	[(19.82298194593038, 12.797486004486966)]	[(40.377788179609595, 14.116308033085101)]	([[19.04447278072551, 12.789620426683042]], [1.0], 2, 0.2589584149991424)
83	0	[(15.370258350644576, 4.505767155830131), (13.135681459066756, 19.39599668795824)]	[(9.237513307705072, 17.880820756521498), (5.088285589931235, 13.104739212280643)]	([[14.227247737683738, 19.43685044132556], [13.824110714191164, 4.483675516955761]], [0.5000000046012166, 0.4999999953987834], 5, 0.467857683001057)
83	1	[(15.370258350644576, 4.505767155830131), (13.135681459066756, 19.39599668795824)]	[(9.237513307705072, 17.880820756521498), (5.088285589931235, 13.104739212280643)]	([[14.227247737683738, 19.43685044132556], [13.824110714191164, 4.483675516955761]], [0.5000000046012166, 0.4999999953987834], 5, 0.47431695699924603)
83	2	[(15.370258350644576, 4.505767155830131), (13.135681459066756, 19.39599668795824)]	[(9.237513307705072, 17.880820756521498), (5.088285589931235, 13.104739212280643)]	([[14.227247737683738, 19.43685044132556], [13.824110714191164, 4.483675516955761]], [0.5000000046012166, 0.4999999953987834], 5, 0.4745378819989128)
83	3	[(15.370258350644576, 4.505767155830131), (13.135681459066756, 19.39599668795824)]	[(9.237513307705072, 17.880820756521498), (5.088285589931235, 13.104739212280643)]	([[14.227247737683738, 19.43685044132556], [13.824110714191164, 4.483675516955761]], [0.5000000046012166, 0.4999999953987834], 5, 0.4756936429985217)
83	4	[(15.370258350644576, 4.505767155830131), (13.135681459066756, 19.39599668795824)]	[(9.237513307705072, 17.880820756521498), (5.088285589931235, 13.104739212280643)]	([[14.227247737683738, 19.43685044132556], [13.824110714191164, 4.483675516955761]], [0.5000000046012166, 0.4999999953987834], 5, 0.47687510200012184)
94	0	[(13.735409014248603, 4.807984255569147), (20.033919339523706, 3.491844307348819)]	[(20.083406785056166, 44.03384534653016), (1.9145387212179765, 25.31961216031722)]	([[372.6441870128352, 25.319696368505046], [6.174108272656773, 4.232345352518744]], [0.00980392156862745, 0.9901960784313726], 58, 52.960576164001395)
94	1	[(13.735409014248603, 4.807984255569147), (20.033919339523706, 3.491844307348819)]	[(20.083406785056166, 44.03384534653016), (1.9145387212179765, 25.31961216031722)]	([[372.6441870128352, 25.319696368505046], [6.174108272656773, 4.232345352518744]], [0.00980392156862745, 0.9901960784313726], 58, 62.39815654500126)
94	2	[(13.735409014248603, 4.807984255569147), (20.033919339523706, 3.491844307348819)]	[(20.083406785056166, 44.03384534653016), (1.9145387212179765, 25.31961216031722)]	([[372.6441870128352, 25.319696368505046], [6.174108272656773, 4.232345352518744]], [0.00980392156862745, 0.9901960784313726], 58, 62.97771920700143)
94	3	[(13.735409014248603, 4.807984255569147), (20.033919339523706, 3.491844307348819)]	[(20.083406785056166, 44.03384534653016), (1.9145387212179765, 25.31961216031722)]	([[372.6441870128352, 25.319696368505046], [6.174108272656773, 4.232345352518744]], [0.00980392156862745, 0.9901960784313726], 58, 58.62181483800123)
