5	0	[(22.365138645845292, 20.52128008626886)]	[(7.763735837854008, 0.3521178879387952)]	([[7.763735837854009, 0.3521178879387952]], [1.0], 0, 0.0006140030000096885)
5	1	[(22.365138645845292, 20.52128008626886)]	[(7.763735837854008, 0.3521178879387952)]	([[7.763735837854009, 0.3521178879387952]], [1.0], 0, 0.000570021000385168)
5	2	[(22.365138645845292, 20.52128008626886)]	[(7.763735837854008, 0.3521178879387952)]	([[7.763735837854009, 0.3521178879387952]], [1.0], 0, 0.000527280999449431)
5	3	[(22.365138645845292, 20.52128008626886)]	[(7.763735837854008, 0.3521178879387952)]	([[7.763735837854009, 0.3521178879387952]], [1.0], 0, 0.000522131000252557)
5	4	[(22.365138645845292, 20.52128008626886)]	[(7.763735837854008, 0.3521178879387952)]	([[7.763735837854009, 0.3521178879387952]], [1.0], 0, 0.0005383309999160701)
16	0	[(5.797025780347404, 20.84984037329253)]	[(29.79476783126752, 23.642046022848564)]	([[5.810250666515938, 21.100647725385173]], [1.0], 2, 0.017442106000089552)
16	1	[(5.797025780347404, 20.84984037329253)]	[(29.79476783126752, 23.642046022848564)]	([[5.810250666515938, 21.100647725385173]], [1.0], 2, 0.014348644001074717)
16	2	[(5.797025780347404, 20.84984037329253)]	[(29.79476783126752, 23.642046022848564)]	([[5.810250666515938, 21.100647725385173]], [1.0], 2, 0.01284751399907691)
16	3	[(5.797025780347404, 20.84984037329253)]	[(29.79476783126752, 23.642046022848564)]	([[5.810250666515938, 21.100647725385173]], [1.0], 2, 0.012805444999685278)
16	4	[(5.797025780347404, 20.84984037329253)]	[(29.79476783126752, 23.642046022848564)]	([[5.810250666515938, 21.100647725385173]], [1.0], 2, 0.013720584000111558)
27	0	[(4.428625527048743, 18.587002130827695)]	[(26.87267697925037, 44.370742325276986)]	([[4.992497820646306, 18.504389713391028]], [1.0], 2, 0.019562007999411435)
27	1	[(4.428625527048743, 18.587002130827695)]	[(26.87267697925037, 44.370742325276986)]	([[4.992497820646306, 18.504389713391028]], [1.0], 2, 0.019586222999350866)
27	2	[(4.428625527048743, 18.587002130827695)]	[(26.87267697925037, 44.370742325276986)]	([[4.992497820646306, 18.504389713391028]], [1.0], 2, 0.019211308999729226)
27	3	[(4.428625527048743, 18.587002130827695)]	[(26.87267697925037, 44.370742325276986)]	([[4.992497820646306, 18.504389713391028]], [1.0], 2, 0.019064281999817467)
27	4	[(4.428625527048743, 18.587002130827695)]	[(26.87267697925037, 44.370742325276986)]	([[4.992497820646306, 18.504389713391028]], [1.0], 2, 0.019097293999948306)
38	0	[(0.7537863494669782, 22.311013170778406)]	[(18.002914801279964, 49.657175669847234)]	([[0.7710430149402384, 19.54140937770981]], [1.0], 3, 0.04783880499962834)
38	1	[(0.7537863494669782, 22.311013170778406)]	[(18.002914801279964, 49.657175669847234)]	([[0.7710430149402384, 19.54140937770981]], [1.0], 3, 0.04853377099971112)
38	2	[(0.7537863494669782, 22.311013170778406)]	[(18.002914801279964, 49.657175669847234)]	([[0.7710430149402384, 19.54140937770981]], [1.0], 3, 0.048909295999692404)
38	3	[(0.7537863494669782, 22.311013170778406)]	[(18.002914801279964, 49.657175669847234)]	([[0.7710430149402384, 19.54140937770981]], [1.0], 3, 0.04875009700117516)
38	4	[(0.7537863494669782, 22.311013170778406)]	[(18.002914801279964, 49.657175669847234)]	([[0.7710430149402384, 19.54140937770981]], [1.0], 3, 0.04991108799913491)
49	0	[(19.367477887623195, 1.9339783806967494)]	[(31.871966547656, 39.92354923921011)]	([[18.286209325517156, 1.9283868567142206]], [1.0], 2, 0.14672539499952109)
49	1	[(19.367477887623195, 1.9339783806967494)]	[(31.871966547656, 39.92354923921011)]	([[18.286209325517156, 1.9283868567142206]], [1.0], 2, 0.14828189899890276)
49	2	[(19.367477887623195, 1.9339783806967494)]	[(31.871966547656, 39.92354923921011)]	([[18.286209325517156, 1.9283868567142206]], [1.0], 2, 0.14587124999889056)
49	3	[(19.367477887623195, 1.9339783806967494)]	[(31.871966547656, 39.92354923921011)]	([[18.286209325517156, 1.9283868567142206]], [1.0], 2, 0.14721625699894503)
49	4	[(19.367477887623195, 1.9339783806967494)]	[(31.871966547656, 39.92354923921011)]	([[18.286209325517156, 1.9283868567142206]], [1.0], 2, 0.1714780519996566)
60	0	[(0.9008120299307341, 6.187602892157059)]	[(30.675617062252677, 34.53538775482464)]	([[0.9113927232695266, 6.3089517460437285]], [1.0], 2, 0.11905081700024311)
60	1	[(0.9008120299307341, 6.187602892157059)]	[(30.675617062252677, 34.53538775482464)]	([[0.9113927232695266, 6.3089517460437285]], [1.0], 2, 0.12423779200071294)
60	2	[(0.9008120299307341, 6.187602892157059)]	[(30.675617062252677, 34.53538775482464)]	([[0.9113927232695266, 6.3089517460437285]], [1.0], 2, 0.11312029699911363)
60	3	[(0.9008120299307341, 6.187602892157059)]	[(30.675617062252677, 34.53538775482464)]	([[0.9113927232695266, 6.3089517460437285]], [1.0], 2, 0.11801283800014062)
60	4	[(0.9008120299307341, 6.187602892157059)]	[(30.675617062252677, 34.53538775482464)]	([[0.9113927232695266, 6.3089517460437285]], [1.0], 2, 0.11701106700093078)
71	0	[(9.31940081762918, 12.198889303879856)]	[(43.72147947148239, 24.348677393056516)]	([[9.568690502211847, 12.198581674936293]], [1.0], 2, 0.15889997399972344)
71	1	[(9.31940081762918, 12.198889303879856)]	[(43.72147947148239, 24.348677393056516)]	([[9.568690502211847, 12.198581674936293]], [1.0], 2, 0.15501174999917566)
71	2	[(9.31940081762918, 12.198889303879856)]	[(43.72147947148239, 24.348677393056516)]	([[9.568690502211847, 12.198581674936293]], [1.0], 2, 0.1555642280000029)
